partID,trial,dft,class,gtsize,partsize,accuracy
p12,19,0.5002,clearcut,SMALL,BIG,0
p12,20,0.2205,clearcut,BIG,BIG,1
p13,1,0.0543,borderline,BIG,BIG,1
p13,2,0.0653,borderline,BIG,BIG,1
p13,3,0.1051,borderline,BIG,BIG,1
p13,4,0.0648,borderline,BIG,BIG,1
p13,5,0.0339,borderline,BIG,BIG,1
p13,6,0.0596,borderline,SMALL,SMALL,1
p13,7,0.1096,borderline,SMALL,SMALL,1
p13,8,0.0314,borderline,SMALL,SMALL,1
p13,9,0.1433,borderline,SMALL,BIG,0
p13,10,0.1655,borderline,SMALL,SMALL,1
p13,11,0.2329,clearcut,BIG,BIG,1
p13,12,0.2341,clearcut,BIG,BIG,1
p13,13,0.2451,clearcut,BIG,BIG,1
p13,14,0.2091,clearcut,BIG,BIG,1
p13,15,0.4643,clearcut,SMALL,SMALL,1
p13,16,0.6826,clearcut,SMALL,SMALL,1
p13,17,0.5112,clearcut,SMALL,SMALL,1
p13,18,0.5763,clearcut,SMALL,SMALL,1
p13,19,0.5002,clearcut,SMALL,SMALL,1
p13,20,0.2205,clearcut,BIG,BIG,1
p14,1,0.0543,borderline,BIG,BIG,1
p14,2,0.0653,borderline,BIG,BIG,1
p14,3,0.1051,borderline,BIG,BIG,1
p14,4,0.0648,borderline,BIG,BIG,1
p14,5,0.0339,borderline,BIG,BIG,1
p14,6,0.0596,borderline,SMALL,BIG,0
p14,7,0.1096,borderline,SMALL,BIG,0
p14,8,0.0314,borderline,SMALL,BIG,0
p14,9,0.1433,borderline,SMALL,SMALL,1
p14,10,0.1655,borderline,SMALL,SMALL,1
p14,11,0.2329,clearcut,BIG,BIG,1
p14,12,0.2341,clearcut,BIG,BIG,1
p14,13,0.2451,clearcut,BIG,BIG,1
p14,14,0.2091,clearcut,BIG,BIG,1
p14,15,0.4643,clearcut,SMALL,SMALL,1
p14,16,0.6826,clearcut,SMALL,SMALL,1
p14,17,0.5112,clearcut,SMALL,SMALL,1
p14,18,0.5763,clearcut,SMALL,SMALL,1
p14,19,0.5002,clearcut,SMALL,BIG,0
p14,20,0.2205,clearcut,BIG,BIG,1
p15,1,0.0543,borderline,BIG,SMALL,0
p15,2,0.0653,borderline,BIG,BIG,1
p15,3,0.1051,borderline,BIG,SMALL,0
p15,4,0.0648,borderline,BIG,BIG,1
p15,5,0.0339,borderline,BIG,BIG,1
p15,6,0.0596,borderline,SMALL,BIG,0
p15,7,0.1096,borderline,SMALL,BIG,0
p15,8,0.0314,borderline,SMALL,BIG,0
p15,9,0.1433,borderline,SMALL,BIG,0
p15,10,0.1655,borderline,SMALL,BIG,0
p15,11,0.2329,clearcut,BIG,BIG,1
p15,12,0.2341,clearcut,BIG,BIG,1
p15,13,0.2451,clearcut,BIG,BIG,1
p15,14,0.2091,clearcut,BIG,BIG,1
p15,15,0.4643,clearcut,SMALL,SMALL,1
p15,16,0.6826,clearcut,SMALL,SMALL,1
p15,17,0.5112,clearcut,SMALL,SMALL,1
p15,18,0.5763,clearcut,SMALL,SMALL,1
p15,19,0.5002,clearcut,SMALL,BIG,0
p15,20,0.2205,clearcut,BIG,BIG,1
p16,1,0.0543,borderline,BIG,SMALL,0
p16,2,0.0653,borderline,BIG,BIG,1
p16,3,0.1051,borderline,BIG,BIG,1
p16,4,0.0648,borderline,BIG,BIG,1
p16,5,0.0339,borderline,BIG,BIG,1
p16,6,0.0596,borderline,SMALL,BIG,0
p16,7,0.1096,borderline,SMALL,SMALL,1
p16,8,0.0314,borderline,SMALL,BIG,0
p16,9,0.1433,borderline,SMALL,BIG,0
p16,10,0.1655,borderline,SMALL,BIG,0
p16,11,0.2329,clearcut,BIG,BIG,1
p16,12,0.2341,clearcut,BIG,BIG,1
p16,13,0.2451,clearcut,BIG,BIG,1
p16,14,0.2091,clearcut,BIG,BIG,1
p16,15,0.4643,clearcut,SMALL,SMALL,1
p16,16,0.6826,clearcut,SMALL,SMALL,1
p16,17,0.5112,clearcut,SMALL,SMALL,1
p16,18,0.5763,clearcut,SMALL,SMALL,1
p16,19,0.5002,clearcut,SMALL,SMALL,1
p16,20,0.2205,clearcut,BIG,BIG,1
p17,1,0.0543,borderline,BIG,BIG,1
p17,2,0.0653,borderline,BIG,BIG,1
